type,book,date,rating
CLASSIC ,Forbidden Notebook by Alba de Céspedes,31.01 - 2pm,4.4
MODERN ,Greek Lessons by Han Kang,22.01 - 7pm,3.0
CLASSIC ,Orlando by Virginia Woolf,28.02 - 2 pm,3.7
MODERN ,Sunburn by Chloe Michelle Howarth,19.02 - 7pm ,4.2
MODERN ,My Name Is Emilia del Valle by Isabel Allende,26.03 - 7pm ,
CLASSIC ,A Frozen Woman by Annie Ernaux ,18.04 - 2pm ,
MODERN ,Educated by Tara Westover,23.04 - 7pm ,
MODERN ,The White Album by Joan Didion,21.05 - 7pm ,
